max_strategy, risky_strategy, uniform_strategy, safe_strategy, min_strategy
623, 614, 615, 749, 1000
133, 918, 546, 1322, 1000
240, 571, 936, 650, 1000
1861, 207, 1800, 528, 1000
351, 1757, 1180, 1418, 1000
619, 1316, 707, 1059, 1000
107, 2245, 333, 1292, 1000
271, 1005, 1612, 939, 1000
560, 2121, 824, 1261, 1000
201, 51, 1378, 930, 1000
377, 1776, 489, 1168, 1000
420, 721, 381, 978, 1000
2, 1573, 1013, 454, 1000
1395, 1500, 724, 1027, 1000
1061, 323, 675, 726, 1000
2473, 325, 1265, 1263, 1000
23, 1261, 530, 1258, 1000
208, 1512, 442, 502, 1000
519, 1679, 1442, 408, 1000
40, 446, 807, 506, 1000
825, 922, 1404, 1302, 1000
419, 407, 711, 1061, 1000
